Frame,Time_Seconds,Knee_Angle_Raw,Knee_Angle_SG,Hip_Angle_SG,Elbow_Angle_SG,Ground_Truth,Prediction
0,0.0,74.02732818974788,74.0273281897473,74.19228679206594,116.7090962907096,Standing,Squatting
1,0.03333333333333333,74.02732818974788,74.02732818974737,74.19228679206597,116.7090962907094,Standing,Squatting
2,0.06666666666666667,74.02732818974788,74.0273281897475,74.19228679206616,116.70909629070914,Standing,Squatting
3,0.1,74.02732818974788,74.02732818974751,74.19228679206611,116.70909629070914,Standing,Squatting
4,0.13333333333333333,74.02732818974788,74.02732818974756,74.19228679206617,116.70909629070914,Standing,Squatting
5,0.16666666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
6,0.2,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
7,0.23333333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
8,0.26666666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
9,0.3,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
10,0.3333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
11,0.36666666666666664,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
12,0.4,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
13,0.43333333333333335,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
14,0.4666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
15,0.5,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
16,0.5333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
17,0.5666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
18,0.6,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
19,0.6333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
20,0.6666666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
21,0.7,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
22,0.7333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
23,0.7666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
24,0.8,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
25,0.8333333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
26,0.8666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
27,0.9,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
28,0.9333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
29,0.9666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
30,1.0,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
31,1.0333333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
32,1.0666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
33,1.1,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
34,1.1333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
35,1.1666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
36,1.2,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
37,1.2333333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
38,1.2666666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
39,1.3,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
40,1.3333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
41,1.3666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
42,1.4,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
43,1.4333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
44,1.4666666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
45,1.5,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
46,1.5333333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
47,1.5666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
48,1.6,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
49,1.6333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
50,1.6666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
51,1.7,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
52,1.7333333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
53,1.7666666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
54,1.8,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
55,1.8333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
56,1.8666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
57,1.9,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
58,1.9333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
59,1.9666666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
60,2.0,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
61,2.033333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
62,2.066666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
63,2.1,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
64,2.1333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
65,2.1666666666666665,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
66,2.2,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
67,2.2333333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
68,2.2666666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
69,2.3,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
70,2.3333333333333335,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
71,2.3666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
72,2.4,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
73,2.433333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
74,2.466666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
75,2.5,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
76,2.533333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
77,2.566666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
78,2.6,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
79,2.6333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
80,2.6666666666666665,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
81,2.7,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
82,2.7333333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
83,2.7666666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
84,2.8,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
85,2.8333333333333335,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
86,2.8666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
87,2.9,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
88,2.933333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
89,2.966666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
90,3.0,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
91,3.033333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
92,3.066666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
93,3.1,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
94,3.1333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
95,3.1666666666666665,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
96,3.2,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
97,3.2333333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
98,3.2666666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
99,3.3,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
100,3.3333333333333335,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
101,3.3666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
102,3.4,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
103,3.433333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
104,3.466666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
105,3.5,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
106,3.533333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
107,3.566666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
108,3.6,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
109,3.6333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
110,3.6666666666666665,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
111,3.7,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
112,3.7333333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
113,3.7666666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
114,3.8,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
115,3.8333333333333335,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
116,3.8666666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
117,3.9,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
118,3.933333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
119,3.966666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
120,4.0,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
121,4.033333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
122,4.066666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
123,4.1,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
124,4.133333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
125,4.166666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
126,4.2,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
127,4.233333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
128,4.266666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
129,4.3,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
130,4.333333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
131,4.366666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
132,4.4,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
133,4.433333333333334,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
134,4.466666666666667,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
135,4.5,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
136,4.533333333333333,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
137,4.566666666666666,74.02732818974788,74.02732818974785,74.19228679206651,116.70909629070891,Standing,Squatting
